id,pop_other_languages,pop_total
10001,7810,29079
10002,38459,75517
10003,11459,53825
10004,1012,3875
10005,1992,9238
10006,1382,4475
10007,1756,7802
10009,20234,58341
10010,6221,31905
10011,9556,49344
10012,5007,21846
10013,9349,28215
10014,4645,29772
10016,15332,54297
10017,3583,14985
10018,3367,8764
10019,14701,44276
10020,0,0
10021,9698,39479
10022,8342,34340
10023,19002,67468
10024,12556,62576
10025,32135,93223
10026,11518,37113
10027,23872,65068
10028,8303,45679
10029,35220,74848
10030,10790,30781
10031,30365,60305
10032,33645,55579
10033,32574,53611
10034,24355,39037
10035,17051,39082
10036,11132,30589
10037,4553,18333
10038,8657,23342
10039,9993,30512
10040,27765,41581
10044,6252,11998
10065,8698,31047
10069,1760,6669
10075,5661,23865
10103,0,0
10110,0,0
10111,0,0
10112,0,0
10115,0,0
10119,0,0
10128,16539,59000
10152,0,0
10153,0,0
10154,0,0
10162,522,1769
10165,0,0
10167,0,0
10168,0,0
10169,0,0
10170,0,0
10171,0,0
10172,0,0
10173,0,0
10174,0,0
10177,0,0
10199,0,0
10271,0,0
10278,0,0
10279,0,181
10280,3636,8668
10282,1349,5960
10301,11932,39799
10302,7717,19693
10303,10629,25993
10304,19989,45843
10305,19233,41714
10306,19617,57249
10307,2906,14821
10308,7169,29996
10309,8421,34918
10310,7962,25824
10311,0,0
10312,16651,63345
10314,34373,93539
10451,24563,48975
10452,48543,76745
10453,49643,78270
10454,24403,40368
10455,26681,42940
10456,45098,86958
10457,48790,79375
10458,51304,78741
10459,29593,49753
10460,35445,61101
10461,27470,50900
10462,42737,75452
10463,32814,69373
10464,1658,4273
10465,18777,46457
10466,23055,74061
10467,53344,96304
10468,57119,79825
10469,24679,69855
10470,3981,15558
10471,7929,23400
10472,37836,63820
10473,27707,59778
10474,5344,11188
10475,12573,42771
11004,7521,14296
11005,246,2195
11101,17661,39007
11102,12106,28349
11103,17480,35357
11104,15588,26825
11105,17070,38507
11106,20383,40657
11109,2733,7388
11201,16262,69251
11203,14064,76853
11204,57080,81368
11205,19870,50205
11206,46266,89231
11207,29280,93445
11208,50913,106901
11209,30111,70756
11210,19046,60398
11211,29954,65691
11212,18535,87946
11213,15401,69630
11214,62332,88994
11215,15749,70922
11216,11596,59913
11217,10189,42569
11218,33750,71313
11219,67704,94737
11220,68604,90792
11221,29801,90750
11222,12401,41418
11223,42511,78566
11224,26634,48469
11225,12965,56544
11226,32784,100022
11228,23230,42325
11229,44667,79802
11230,44194,88252
11231,8497,39704
11232,15124,26681
11233,15701,82711
11234,28909,87778
11235,58857,81958
11236,23184,95174
11237,22565,45233
11238,11183,58462
11239,4850,16047
11351,0,0
11354,39335,52325
11355,63848,79802
11356,18661,26956
11357,19936,42341
11358,23448,36496
11359,0,0
11360,7922,19510
11361,14898,30402
11362,9303,18156
11363,3161,7515
11364,20442,36417
11365,24040,43258
11366,8352,12967
11367,22813,42210
11368,84830,107060
11369,22942,33354
11370,17926,28762
11371,0,0
11372,48020,66995
11373,81391,99433
11374,31168,46128
11375,38206,75320
11377,57773,83545
11378,21701,37828
11379,17625,37378
11385,56649,103865
11411,3848,20501
11412,7192,41350
11413,6946,45072
11414,10582,31090
11415,10997,21379
11416,16313,26660
11417,15411,30091
11418,20117,36304
11419,18480,46938
11420,14013,50060
11421,27755,41937
11422,8438,33085
11423,12111,29105
11424,0,0
11425,0,0
11426,11016,19638
11427,12152,25124
11428,8688,18898
11429,8659,27933
11430,279,448
11432,39103,63730
11433,10882,37777
11434,11582,67611
11435,31139,58424
11436,3876,21364
11451,0,0
11691,21131,68704
11692,7227,23247
11693,4041,13066
11694,3836,21430
11697,228,4123
